nombre_cancion,anio,mes,reproducciones,likes
Vértigo,2020,Mayo,4609,3573
A Media Luz,2019,Julio,331,4091
Resonancia,2025,Junio,2436,1952
Caída Libre,2020,Mayo,1676,2390
Cenizas,2015,Octubre,1649,1042
Mirada Fría,2017,Julio,3612,1256
Cicatrices,2020,Mayo,941,1672
Desvelo II,2016,Septiembre,1988,3372
A Contraluz,2021,Febrero,2203,4678
A Contraluz,2024,Julio,4428,4620
Caída Libre,2024,Noviembre,1280,2270
Desvelo II,2020,Septiembre,4153,4812
Caída Libre,2021,Abril,788,3550
Mil Vidas,2015,Enero,2315,3597
Laberinto,2023,Enero,4475,3346
Lluvia de Estrellas,2022,Marzo,2858,1306
Pálpito,2025,Mayo,1671,881
Alma Libre,2016,Febrero,4506,1587
Reinicio,2017,Junio,3657,4706
Desconexión,2023,Julio,3292,1051
Cenizas,2015,Noviembre,4071,1544
A Contrarreloj,2023,Julio,4030,472
Oscuridad Total,2016,Enero,4458,2803
A Contrarreloj,2019,Mayo,783,1767
Vértigo,2020,Junio,2575,1554
Latente,2024,Julio,316,157
Fragmentada,2021,Septiembre,4646,1732
Latente,2017,Febrero,1701,4850
A Media Luz,2023,Febrero,1939,4777
Fuego Interno,2017,Julio,1368,4166
Antes del Silencio,2015,Diciembre,837,1618
Sin Control,2025,Julio,4096,2351
Distancia,2018,Junio,4103,1238
Cenizas,2015,Mayo,1900,4263
Tensión,2017,Julio,4670,3242
Voces,2024,Octubre,2413,3599
Destino Cruzado,2018,Mayo,1507,1718
Intermitente,2015,Diciembre,2057,3480
Noches de Neón,2019,Febrero,3281,2519
Después de Ti,2023,Octubre,4093,3402
Ausencia,2021,Marzo,740,456
Latidos,2024,Enero,1563,2481
Noches de Neón,2015,Abril,120,158
Despierta,2016,Julio,4838,1743
Sin Filtro,2023,Enero,3946,363
Intermitente,2019,Junio,3029,4829
Punto Final,2019,Mayo,68,3759
Fantasmas,2024,Septiembre,1135,1793
Desconexión,2024,Agosto,1719,4156
Renacer,2022,Octubre,787,3367
Recuerdos,2019,Abril,2989,3399
Sin Filtro,2022,Febrero,3981,1567
Noches de Neón,2019,Abril,1982,1335
Desvelo,2019,Septiembre,1733,2191
Lluvia de Estrellas,2022,Enero,3839,2262
Sutil,2024,Febrero,2710,141
Desfase,2023,Junio,3081,3976
Fantasmas,2023,Agosto,816,4201
Resonancia,2022,Febrero,3928,3912
Horizonte,2023,Enero,2387,3175
Punto Final,2022,Enero,49,1201
Pecado,2022,Julio,1011,4144
Instinto,2019,Septiembre,202,176
Equilibrio,2023,Julio,199,4140
Repetición,2019,Enero,1798,4943
Fragmentada,2017,Septiembre,1395,171
Sin Filtro,2025,Agosto,935,1389
Resonancia,2016,Junio,4806,879
Eco Final,2024,Febrero,962,2290
Sin Mirar Atrás,2020,Septiembre,947,3333
Fantasmas,2017,Agosto,637,3533
Nostalgia,2025,Septiembre,4353,1544
Noches de Neón,2022,Febrero,4652,4835
Caída Libre,2023,Noviembre,1695,1607
Antes del Silencio,2024,Agosto,921,2742
Pálpito,2018,Junio,23,3992
Equilibrio,2025,Mayo,1916,3409
Instinto,2016,Noviembre,1781,241
A Media Luz,2018,Julio,1681,1578
Distancia,2024,Septiembre,4277,2673
Callejón,2018,Agosto,4861,2299
Instinto,2021,Diciembre,1176,3897
Eterno,2018,Diciembre,86,1853
Eco Final,2018,Abril,3475,1620
Sombras II,2018,Junio,4365,2188
Cicatrices,2023,Julio,1993,1013
Alma Libre,2016,Enero,3458,1017
Sin Filtro,2021,Diciembre,2062,271
Último Latido,2020,Octubre,2684,3645
Voces,2025,Julio,4185,232
A Contraluz,2024,Julio,405,1401
Vértigo,2016,Marzo,3270,3704
Siluetas,2016,Abril,4119,2196
A Contraluz,2017,Junio,2946,4683
Último Latido,2023,Septiembre,4880,1973
Tensión,2017,Octubre,1100,904
Colisión,2021,Abril,263,1416
Intermitente,2015,Junio,3015,1996
Sutil,2015,Abril,1993,3818
Sin Filtro,2021,Enero,900,2372
A Media Luz,2024,Octubre,3948,2153
Sin Filtro,2022,Febrero,3904,4151
Tensión,2020,Septiembre,2289,3206
Retroceso,2024,Agosto,1048,2351
Caos,2017,Marzo,2959,3483
Distancia,2020,Abril,3526,3674
Siluetas,2022,Diciembre,47,4435
Punto Final,2024,Abril,1246,775
Antes del Silencio,2023,Abril,3293,1547
Fuego Interno,2021,Agosto,1277,2154
Caos,2021,Octubre,3545,2254
Retroceso,2017,Marzo,1640,3670
Claroscuro,2021,Septiembre,1736,2659
Despierta,2023,Junio,349,307
Gravedad,2023,Agosto,2536,3969
Gravedad,2021,Febrero,4400,2581
Alma Libre,2017,Junio,991,4207
Laberinto,2018,Octubre,3619,3689
Después de Ti,2022,Febrero,1117,1314
Marea Alta,2016,Octubre,2949,250
Despierto,2022,Diciembre,2663,328
Desconexión,2020,Mayo,2412,2498
Noches de Neón,2016,Octubre,2783,3164
Vértigo,2019,Agosto,1402,486
Recuerdos,2023,Septiembre,377,2040
Corazón Eléctrico,2017,Noviembre,536,1567
Caos,2022,Septiembre,2423,1700
Vértigo,2021,Noviembre,4046,398
Oscuridad Total,2017,Febrero,3020,2541
Horizonte,2017,Junio,1778,909
Pecado,2016,Diciembre,2464,2958
Tensión,2023,Octubre,4766,1396
Caída Libre,2021,Febrero,2540,1862
Noches de Neón,2018,Abril,2431,4831
Pálpito,2021,Febrero,2177,3154
Contratiempo,2019,Agosto,2577,670
Eco Final,2023,Febrero,4380,2147
Laberinto,2023,Agosto,1138,2506
Último Latido,2020,Enero,4787,3335
Después de Ti,2024,Noviembre,4044,3026
Noches de Neón,2016,Marzo,3118,669
Fragmentos,2022,Abril,2431,4469
Ritmo Urbano,2022,Abril,472,3417
Caída Libre,2021,Octubre,2666,1286
Cenizas,2023,Enero,1389,2916
Vértice,2025,Octubre,4081,3065
Voces,2023,Junio,3646,3653
Corazón Eléctrico,2023,Septiembre,2100,1193
Desvelo II,2025,Julio,1069,2068
Pulso,2023,Enero,4342,2047
Gravedad,2024,Agosto,471,4210
Mirada Fría,2015,Octubre,3230,4805
Repetición,2023,Marzo,339,3155
Noches de Neón,2020,Enero,1012,4324
Horizonte,2025,Enero,4385,4984
Llama Azul,2025,Abril,582,931
Desvelo,2016,Abril,4086,4654
Latente,2019,Julio,606,2911
Siluetas,2019,Junio,1304,1309
Entre Sombras,2016,Octubre,2971,3858
Despierto,2019,Octubre,838,3721
Horizonte,2016,Septiembre,72,2568
Claroscuro,2019,Febrero,2563,4266
Intermitente,2017,Octubre,2297,1278
Pecado,2024,Octubre,1501,3478
Desorden,2018,Agosto,830,1359
Intermitente,2021,Mayo,2467,4031
Sutil,2015,Mayo,815,4004
Entre Sombras,2015,Abril,2526,1324
Instinto,2015,Noviembre,2588,1904
Caída Libre,2015,Junio,1325,1685
Pulso Final,2022,Abril,2097,4988
Latidos,2021,Junio,1416,4590
Retroceso,2020,Abril,3287,216
Fuego Interno,2020,Enero,2924,3141
A Media Luz,2022,Abril,2100,2448
Callejón,2022,Marzo,141,4041
Intermitente,2024,Noviembre,3676,2643
Inercia,2017,Diciembre,4897,391
Al Límite,2023,Julio,2412,513
A Contraluz,2021,Enero,2564,3145
Ecos,2022,Julio,302,4641
Alma Libre,2021,Abril,1713,868
A Contraluz,2022,Enero,4387,4261
Latente,2016,Diciembre,4124,3847
Tensión,2024,Abril,306,2412
Cicatrices,2015,Noviembre,3007,4222
Destino Cruzado,2018,Marzo,1938,4857
A Media Luz,2019,Diciembre,2129,3174
Desfase,2024,Enero,1406,159
Instinto,2025,Julio,4706,4086
Sin Mirar Atrás,2024,Julio,1751,2739
Fantasmas,2021,Enero,3310,4679
Ciudad Rota,2023,Julio,4839,3235
Callejón,2023,Febrero,1225,4132
Intermitente,2016,Diciembre,1776,3919
Noches de Neón,2020,Junio,1152,651
Sin Control,2024,Agosto,3156,1546
Instante,2018,Enero,2287,1992
Caída Libre,2021,Junio,399,3308
Eco Final,2017,Diciembre,3363,4882
Inercia,2019,Mayo,746,2188
Niebla,2020,Marzo,8,4087
Pecado,2017,Enero,822,3030
Caída Libre,2023,Agosto,232,2139
Ciudad Rota,2025,Diciembre,1877,4167
Último Latido,2020,Noviembre,2733,540
Eco Final,2016,Enero,1358,3722
Retroceso,2025,Marzo,1061,2611
Latente,2022,Enero,290,3272
A Contrarreloj,2015,Junio,4171,4641
A Contrarreloj,2024,Junio,219,90
Marea Alta,2018,Junio,2974,641
Instante,2020,Diciembre,2509,3325
Alma Libre,2022,Junio,2472,2316
Desconexión,2023,Abril,2032,1744
Corazón Eléctrico,2024,Septiembre,3617,4109
Voces,2022,Octubre,4145,3230
Espiral,2025,Abril,2997,145
Desfase,2020,Abril,2654,3631
Equilibrio,2018,Diciembre,1264,197
Gravedad,2024,Junio,4643,2630
Eco Final,2018,Octubre,3259,3301
Alma Libre,2024,Octubre,1736,2751
Desfase,2022,Febrero,2981,1812
Ritmo Urbano,2016,Agosto,3096,2809
Fantasmas,2020,Enero,2574,527
Nostalgia,2025,Junio,3247,2381
Punto Final,2023,Enero,1393,938
Vértigo,2018,Enero,1885,760
Tiempo Muerto,2015,Diciembre,957,371
Sin Mirar Atrás,2023,Septiembre,3605,4158
Ruido Blanco,2025,Abril,510,3033
Espiral,2022,Julio,3310,3930
Sombras del Ayer,2021,Diciembre,3187,1029
Sin Mirar Atrás,2021,Julio,1897,3252
Claroscuro,2019,Junio,4058,1061
Contratiempo,2016,Abril,1369,3429
Caída Libre,2018,Octubre,3067,40
Sin Control,2024,Junio,2629,3610
Mirada Fría,2024,Enero,12,2892
Ritmo Urbano,2023,Septiembre,1037,1451
Fuego Interno,2015,Enero,3248,1355
Llama Azul,2017,Septiembre,2077,3539
Entre Sombras,2016,Julio,4632,1617
Repetición,2022,Marzo,1547,2360
Horizonte Rojo,2018,Julio,4646,2611
Sin Filtro,2020,Febrero,3732,3768
Desconexión,2016,Diciembre,2092,2627
Entre Sombras,2023,Mayo,4340,3160
Claroscuro,2017,Noviembre,2642,4466
Distancia,2025,Octubre,410,1109
Contratiempo,2015,Julio,488,3371
Tiempo Muerto,2021,Agosto,1819,141
Sin Filtro,2016,Febrero,942,3807
Callejón,2017,Julio,170,1202
Siluetas,2024,Marzo,80,1261
Punto Ciego,2023,Mayo,1706,1529
Fragmentos,2023,Febrero,2278,4696
Ruido Blanco,2020,Marzo,3191,357
Lluvia de Estrellas,2016,Octubre,4872,3000
Fuego Interno,2018,Marzo,3887,3294
Tensión,2015,Abril,3304,1839
Renacer,2017,Mayo,37,3072
Ciudad Rota,2023,Marzo,2608,2360
Sin Mirar Atrás,2019,Abril,1438,4765
Tiempo Muerto,2015,Junio,4175,4000
Desfase,2025,Junio,4489,1411
Distancia,2017,Octubre,4940,1383
Inercia,2023,Septiembre,2201,4502
Punto Ciego,2024,Abril,2881,203
Ausencia,2018,Febrero,2081,1166
Destino Cruzado,2025,Noviembre,2080,1558
Última Vez,2015,Julio,909,3681
Repetición,2017,Mayo,1728,3226
Desvelo II,2020,Junio,1874,2377
Repetición,2015,Octubre,4683,3864
Antes del Silencio,2016,Mayo,241,4892
Desfase,2023,Agosto,3627,3178
Fragmentada,2021,Diciembre,2398,4538
Desfase,2020,Febrero,3159,3061
Callejón,2015,Septiembre,3810,2023
Lluvia de Estrellas,2016,Diciembre,750,794
Marea Alta,2020,Agosto,3629,2986
Equilibrio,2023,Julio,2859,3017
Punto Final,2020,Mayo,559,2485
Tiempo Muerto,2021,Mayo,4768,4921
Claroscuro,2024,Junio,3559,461
Noches de Neón,2020,Septiembre,1950,2318
Contratiempo,2018,Agosto,4097,4884
Desconexión,2022,Diciembre,752,2510
Inercia,2021,Junio,1362,2172
Entre Sombras,2016,Febrero,4853,1177
Voces,2019,Marzo,408,116
Sin Filtro,2017,Abril,3692,4774
Sin Mirar Atrás,2015,Abril,1914,2856
Gravedad,2020,Mayo,836,314
Entre Sombras,2019,Noviembre,1706,899
Desconexión,2021,Marzo,1367,3339
Sin Filtro,2016,Abril,2904,2559
Espiral,2022,Junio,3887,4798
Fuego Interno,2017,Julio,3488,4811
Eterno,2016,Mayo,2646,2755
Laberinto,2021,Febrero,2809,1828
Resonancia,2021,Enero,343,164
Repetición,2023,Septiembre,1482,3117
Nostalgia,2023,Octubre,147,396
Pulso,2021,Octubre,1897,969
Inercia,2021,Febrero,3934,3543
Eco Final,2020,Mayo,3066,4971
Desvelo,2022,Septiembre,154,1047
A Media Luz,2022,Junio,1157,1971
Horizonte,2024,Julio,1762,995
Distancia,2015,Julio,2505,1268
Antes del Silencio,2018,Junio,551,3590
Ruido Blanco,2022,Junio,4019,2194
Sombras del Ayer,2020,Mayo,1780,4005
Contratiempo,2023,Diciembre,4155,973
Fuego Interno,2023,Junio,1802,4703
Fuego Interno,2025,Febrero,2019,55
Destino Cruzado,2023,Marzo,4762,899
Fantasmas,2023,Julio,3754,2988
Claroscuro,2023,Junio,2135,2521
Equilibrio,2025,Marzo,3051,3255
Colisión,2025,Abril,1569,1663
Sutil,2025,Junio,3773,4827
Callejón,2020,Enero,4812,1044
Sombras del Ayer,2015,Noviembre,1020,2496
Horizonte,2021,Abril,3274,4517
Punto Ciego,2021,Agosto,1323,4716
Último Latido,2024,Noviembre,2572,1755
Ritmo Urbano,2025,Octubre,1391,3186
Cicatrices,2020,Mayo,1558,2301
A Contraluz,2019,Diciembre,2495,2497
Fantasmas,2022,Noviembre,4162,4800
Siluetas,2023,Abril,1983,3300
Último Latido,2017,Noviembre,666,3214
Laberinto,2022,Noviembre,2434,2486
Sombras II,2015,Noviembre,3259,2020
Antes del Silencio,2024,Octubre,145,4629
Noches de Neón,2023,Noviembre,4804,2114
Pulso Final,2017,Diciembre,890,2045
Sin Mirar Atrás,2021,Febrero,3660,3316
Eco Final,2016,Noviembre,833,1573
Latidos,2023,Septiembre,1259,2950
Siluetas,2021,Febrero,23,3420
Inercia,2017,Mayo,4372,2567
Alma Libre,2019,Marzo,873,3950
Claroscuro,2019,Enero,606,3998
Lento Adiós,2015,Septiembre,28,2754
Eco Final,2022,Noviembre,2403,4574
A Media Luz,2020,Noviembre,1655,3261
Latente,2022,Junio,1888,963
Ritmo Urbano,2022,Agosto,1034,3751
Mirada Fría,2020,Febrero,1731,1039
Siluetas,2023,Junio,2761,3420
Horizonte,2025,Enero,3063,2679
Pulso,2016,Febrero,2529,3451
Fragmentos,2021,Julio,2928,3780
Fragmentada,2020,Enero,1045,3921
Sutil,2017,Febrero,4434,2388
Ecos,2019,Abril,3064,4576
Punto Final,2020,Diciembre,2538,106
Renacer,2021,Septiembre,507,3100
A Contrarreloj,2018,Diciembre,4148,4665
Horizonte Rojo,2019,Febrero,248,4662
Oscuridad Total,2023,Abril,4069,336
Instinto,2024,Julio,932,2529
Vértigo,2023,Octubre,125,248
Fragmentada,2019,Junio,4037,4941
Sombras del Ayer,2024,Abril,1368,1496
Eterno,2020,Abril,2512,3264
Ciudad Rota,2020,Octubre,4707,3687
Latidos,2021,Marzo,265,3384
Repetición,2016,Agosto,1377,3235
Caos,2015,Diciembre,2329,885
Resonancia,2024,Febrero,24,3814
Sutil,2018,Marzo,1232,403
Colisión,2025,Abril,204,1253
Mil Vidas,2025,Mayo,734,1155
A Contraluz,2021,Julio,1368,3708
Noches de Neón,2023,Julio,3638,4997
Nostalgia,2020,Mayo,2679,1880
Latente,2018,Diciembre,1868,3966
Pálpito,2023,Mayo,1786,2310
Desfase,2015,Junio,494,2248
Siluetas,2021,Septiembre,3144,4493
Marea Alta,2019,Octubre,604,1271
Pecado,2025,Septiembre,4541,4971
Última Vez,2020,Abril,4159,2292
Desvelo,2021,Abril,94,1880
Desvelo II,2021,Octubre,3,2126
Mirada Fría,2018,Marzo,395,2320
Marea Alta,2023,Marzo,103,1458
Instante,2021,Junio,1633,3715
Sin Filtro,2023,Julio,4874,758
Caída Libre,2025,Octubre,364,2018
Tensión,2016,Enero,1806,4505
Ausencia,2015,Noviembre,2300,2498
Vértigo,2018,Mayo,695,1857
Sin Control,2016,Febrero,681,4086
Alma Libre,2025,Marzo,3064,925
Nostalgia,2021,Mayo,2411,1394
Contratiempo,2022,Junio,2877,4205
Caída Libre,2019,Enero,312,2586
Vértice,2023,Abril,2316,1231
Despierto,2025,Agosto,4406,3156
Última Vez,2025,Agosto,2080,1602
Eco Final,2019,Marzo,2974,3069
Alma Libre,2019,Abril,1184,3065
Tiempo Muerto,2020,Febrero,1503,1604
Lento Adiós,2019,Mayo,4520,4827
Sutil,2021,Agosto,392,2270
Intermitente,2025,Abril,1742,50
Nostalgia,2019,Junio,1508,3612
Colisión,2018,Julio,3209,3504
Ausencia,2022,Junio,482,3651
Pálpito,2025,Junio,3161,123
A Contrarreloj,2025,Noviembre,2192,234
Alma Libre,2020,Marzo,2836,3297
Niebla,2022,Agosto,645,1625
Horizonte Rojo,2016,Febrero,4318,1659
Siluetas,2023,Febrero,582,4474
Ritmo Urbano,2021,Junio,881,1457
Mirada Fría,2018,Julio,4617,229
Vértigo,2017,Enero,3964,4734
Despierto,2019,Julio,393,3926
Desfase,2023,Agosto,528,1920
Instante,2022,Marzo,1364,4536
Desvelo II,2020,Diciembre,4028,3666
Mirada Fría,2022,Noviembre,4223,3575
Caos,2024,Diciembre,4990,2713
Desvelo,2020,Enero,126,442
Desvelo,2020,Julio,4143,2965
Ausencia,2025,Octubre,878,1543
Intermitente,2020,Julio,4908,3929
A Media Luz,2019,Abril,3359,4137
Voces,2024,Marzo,3812,2025
Caos,2016,Agosto,3518,1128
Despierto,2023,Mayo,3624,4613
Lento Adiós,2022,Julio,4360,1707
Niebla,2020,Junio,1572,1712
Latente,2024,Mayo,2270,1741
Desfase,2020,Noviembre,4654,3007
Fragmentada,2025,Marzo,3346,201
Pulso,2017,Octubre,4400,2137
Desvelo II,2023,Agosto,2186,1515
Caída Libre,2015,Junio,3109,2579
Renacer,2017,Abril,4339,2594
Sin Control,2025,Mayo,4705,1305
Repetición,2019,Marzo,3610,1509
Alma Libre,2022,Marzo,881,2908
Corazón Eléctrico,2020,Septiembre,2438,2497
Vértice,2016,Mayo,2694,4537
Desfase,2018,Julio,2166,4400
Sin Mirar Atrás,2021,Septiembre,1562,41
Equilibrio,2017,Noviembre,3274,1226
Despierto,2022,Octubre,1435,3276
Destino Cruzado,2017,Septiembre,1992,498
Latidos,2020,Enero,4165,1071
Retroceso,2023,Enero,4304,2030
Cenizas,2023,Diciembre,834,3183
Voces,2015,Agosto,2883,2336
Marea Alta,2024,Junio,3120,775
Niebla,2022,Junio,4099,2602
Latente,2020,Septiembre,4646,3393
Sin Control,2024,Septiembre,2584,2088
Ecos,2015,Agosto,2226,3511
Gravedad,2020,Septiembre,1304,45
Instinto,2020,Marzo,4748,186
Sin Control,2020,Abril,4877,3734
Nostalgia,2024,Mayo,4353,3879
Voces,2018,Mayo,807,963
Espiral,2016,Abril,2281,1862
Intermitente,2017,Mayo,89,1233
Fragmentada,2015,Agosto,2409,3076
Callejón,2017,Agosto,3668,1587
Ausencia,2018,Septiembre,1684,4752
Niebla,2015,Enero,1340,127
Desvelo,2017,Abril,397,263
Marea Alta,2015,Mayo,528,3169
Latidos,2018,Julio,97,2755
Laberinto,2020,Diciembre,2290,2171
Oscuridad Total,2018,Junio,4884,2933
Último Latido,2015,Abril,1270,3074
Sin Filtro,2015,Diciembre,3222,2272
Callejón,2017,Diciembre,2996,2322
Colisión,2022,Agosto,3109,4666
Despierto,2016,Noviembre,1987,3017
Retroceso,2016,Agosto,1655,509
Caída Libre,2020,Diciembre,1594,2472
Pálpito,2015,Junio,960,3791
Vértigo,2017,Junio,1244,1678
Lento Adiós,2019,Diciembre,1685,4396
Resonancia,2020,Julio,1759,437
Ritmo Urbano,2015,Julio,1955,1730
Caída Libre,2024,Marzo,3030,2587
Inercia,2023,Junio,1921,233
Sin Control,2017,Abril,1297,3753
A Contrarreloj,2021,Noviembre,1801,509
Claroscuro,2015,Diciembre,3771,2055
Intermitente,2023,Agosto,4244,2277
Mil Vidas,2017,Enero,1278,2784
Ecos,2021,Mayo,1901,1606
Corazón Eléctrico,2024,Enero,2176,3779
Horizonte,2019,Mayo,4011,3230
Fragmentada,2019,Diciembre,2497,2802
Intermitente,2019,Enero,4850,3757
Contratiempo,2016,Junio,4795,3902
Caos,2017,Octubre,3670,71
Tensión,2017,Septiembre,254,4249
Fantasmas,2016,Agosto,519,3975
Tensión,2019,Noviembre,1904,4237
Renacer,2022,Julio,4240,3680
Desfase,2024,Octubre,1482,3173
Pulso Final,2024,Octubre,236,1118
Contratiempo,2019,Noviembre,4357,1386
Caída Libre,2018,Agosto,34,224
Despierto,2021,Mayo,2379,3966
Resonancia,2024,Mayo,2867,4490
Llama Azul,2021,Agosto,1021,1178
Espiral,2015,Diciembre,1941,2810
Claroscuro,2024,Septiembre,2864,1235
Después de Ti,2025,Enero,951,337
Callejón,2018,Octubre,731,1207
Eterno,2016,Septiembre,441,1222
Eterno,2022,Agosto,3709,3733
Eterno,2020,Julio,3262,4089
Lento Adiós,2025,Mayo,1760,4427
Sin Filtro,2019,Enero,3743,3683
Recuerdos,2019,Mayo,2076,2166
Equilibrio,2018,Diciembre,2572,485
Noches de Neón,2016,Marzo,3396,452
Sutil,2016,Febrero,86,651
Desvelo,2016,Agosto,3300,724
Mirada Fría,2017,Marzo,1290,703
Entre Sombras,2025,Junio,1584,3701
A Contraluz,2019,Noviembre,3261,1121
Ruido Blanco,2022,Noviembre,3585,3740
Alma Libre,2025,Octubre,341,4818
Lento Adiós,2025,Mayo,4631,4069
Destino Cruzado,2016,Marzo,115,3834
Fuego Interno,2015,Enero,1323,2377
Niebla,2024,Abril,2382,2009
Entre Sombras,2015,Noviembre,4009,1912
Eterno,2020,Diciembre,1779,4436
Caída Libre,2018,Julio,2112,3653
Colisión,2025,Noviembre,1135,2381
Laberinto,2023,Octubre,4977,1076
Cicatrices,2023,Febrero,2193,4687
Instante,2024,Octubre,2210,3807
Voces,2019,Marzo,2866,1251
Claroscuro,2015,Marzo,228,2007
Sutil,2015,Agosto,1725,1653
Despierta,2024,Abril,206,4331
Callejón,2015,Marzo,3365,4931
Sutil,2017,Febrero,2761,3922
Horizonte Rojo,2021,Septiembre,4962,2185
Entre Sombras,2018,Julio,2999,4320
Sin Control,2018,Noviembre,238,4577
Repetición,2025,Febrero,4793,4059
Reinicio,2015,Enero,4854,4841
Despierta,2024,Noviembre,1809,4755
Fragmentos,2020,Febrero,2584,120
Al Límite,2023,Febrero,1709,2213
Mirada Fría,2018,Octubre,451,585
Latente,2021,Septiembre,2595,4954
Laberinto,2016,Junio,2308,2814
Laberinto,2024,Noviembre,1669,4234
Repetición,2016,Agosto,3877,2002
Sin Control,2022,Noviembre,3747,282
Mil Vidas,2024,Febrero,1606,625
Desvelo II,2015,Agosto,1010,3563
Repetición,2024,Noviembre,1542,3611
Llama Azul,2024,Septiembre,1987,1978
Despierta,2017,Julio,4242,229
Último Latido,2015,Abril,3586,1100
Sutil,2015,Octubre,2523,2954
Cenizas,2017,Febrero,3818,312
Reinicio,2022,Abril,232,4409
Laberinto,2019,Julio,2059,399
Vértice,2021,Mayo,4198,3451
Eco Final,2023,Junio,3309,2419
Caída Libre,2019,Junio,4591,1121
Horizonte Rojo,2022,Agosto,4057,3448
Alma Libre,2022,Abril,2998,842
Alma Libre,2019,Agosto,3107,1451
Noches de Neón,2020,Agosto,2168,255
Noches de Neón,2019,Abril,847,1301
Tiempo Muerto,2024,Septiembre,3857,2231
Inercia,2018,Junio,3294,1521
Fantasmas,2018,Agosto,4880,632
Marea Alta,2017,Octubre,474,4683
Vértice,2019,Mayo,1939,2099
Voces,2018,Enero,2340,3395
Antes del Silencio,2016,Octubre,4272,4139
Recuerdos,2015,Julio,1509,3776
Desorden,2018,Mayo,872,4140
Punto Final,2025,Julio,2240,2381
Pulso,2018,Abril,2766,2397
A Contrarreloj,2024,Marzo,4479,2223
Desorden,2022,Junio,654,4533
Vértigo,2025,Agosto,1178,3995
Reinicio,2015,Julio,2396,893
Desorden,2018,Noviembre,1274,1075
Vértice,2020,Abril,1411,2215
Fuego Interno,2015,Diciembre,4446,2994
Sin Control,2025,Agosto,3820,2200
Fantasmas,2015,Diciembre,2100,444
Distancia,2022,Enero,1769,2082
Oscuridad Total,2025,Diciembre,819,634
Fantasmas,2016,Noviembre,4944,1190
A Contraluz,2020,Marzo,1592,3585
Horizonte,2015,Octubre,2409,3835
Mil Vidas,2016,Agosto,285,4114
Cicatrices,2023,Abril,2646,518
Desvelo,2025,Septiembre,1567,3553
Pecado,2019,Agosto,266,4455
Llama Azul,2022,Julio,778,2982
Ritmo Urbano,2016,Julio,4389,2430
Oscuridad Total,2018,Septiembre,3038,4791
Ritmo Urbano,2021,Mayo,4373,3753
Colisión,2016,Marzo,1736,3623
Último Latido,2018,Mayo,989,2673
Ausencia,2015,Febrero,943,2097
Nostalgia,2016,Octubre,337,3163
Equilibrio,2022,Julio,2721,151
Latente,2020,Noviembre,2575,3868
Resonancia,2017,Mayo,4588,4576
Despierto,2021,Julio,2742,4971
Desconexión,2016,Junio,878,3263
Después de Ti,2025,Julio,3911,2619
Instante,2016,Febrero,1886,2098
A Media Luz,2023,Octubre,2933,2902
Recuerdos,2016,Enero,2391,4139
Sin Control,2021,Febrero,2057,3466
Resonancia,2024,Abril,2214,272
Retroceso,2020,Abril,4359,324
Mil Vidas,2025,Febrero,4476,2663
Al Límite,2017,Junio,638,2540
Desvelo,2025,Diciembre,1377,1765
Desconexión,2016,Diciembre,4812,2858
Pálpito,2015,Agosto,2797,400
Marea Alta,2023,Julio,4560,2161
Ritmo Urbano,2017,Enero,295,4754
Lento Adiós,2021,Abril,2989,1740
Nostalgia,2018,Abril,1282,303
Vértice,2022,Octubre,4828,614
Sombras del Ayer,2023,Marzo,1086,1266
Fuego Interno,2023,Junio,4487,1868
A Contraluz,2024,Febrero,886,4896
Sombras del Ayer,2020,Diciembre,105,1607
Sin Control,2022,Octubre,4400,2361
Caída Libre,2024,Enero,458,1025
Sutil,2024,Agosto,673,3170
Reinicio,2015,Abril,1187,3489
Intermitente,2024,Abril,1109,1623
Sutil,2020,Octubre,469,3333
Cenizas,2019,Julio,1154,2860
Pulso,2022,Febrero,83,2442
Sin Filtro,2019,Febrero,2220,2081
Reinicio,2016,Abril,4398,2294
Horizonte Rojo,2016,Junio,2702,1681
Inercia,2016,Agosto,711,2241
Resonancia,2017,Noviembre,414,549
Oscuridad Total,2020,Octubre,2683,2418
Despierto,2018,Septiembre,245,1112
Llama Azul,2019,Enero,4597,2752
Laberinto,2022,Enero,3633,3878
Laberinto,2023,Junio,84,3307
Último Latido,2018,Septiembre,1800,2978
Mirada Fría,2022,Diciembre,2624,280
Distancia,2024,Agosto,1172,655
Latidos,2020,Noviembre,3509,3305
Nostalgia,2018,Febrero,311,4205
Voces,2020,Enero,2064,3980
Caída Libre,2025,Febrero,932,4540
Voces,2024,Abril,1707,3995
Sutil,2019,Abril,3898,2339
Colisión,2021,Junio,326,1688
Instante,2023,Febrero,3434,4087
Distancia,2024,Noviembre,1538,3793
Lento Adiós,2023,Mayo,3115,3375
Reinicio,2017,Mayo,2944,4592
Resonancia,2020,Diciembre,1336,1596
Horizonte Rojo,2015,Septiembre,4199,2254
A Contraluz,2024,Enero,1701,4181
Inercia,2025,Marzo,2154,2919
Destino Cruzado,2025,Mayo,4700,1742
Equilibrio,2016,Noviembre,3032,4758
Distancia,2016,Diciembre,3149,3505
Noches de Neón,2021,Abril,444,4772
Recuerdos,2016,Marzo,4332,1176
Despierto,2023,Julio,4515,4512
Equilibrio,2020,Julio,1902,3414
Latidos,2022,Agosto,1484,2545
Ciudad Rota,2017,Noviembre,519,977
